KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_u8q0C,<i>Thank you</i>,<i>Danke dir</i>,<i>Merci</i>,<i>Grazie</i>,<i> Gracias </i>,,,,<i>Благодарю вас</i>,<i>ありがとう</i>,<i>谢谢</i>,,,,,,
dialogue_AGmuO," Welcome, Inspector! @w3 GLaD you are here!", Willkommen Inspektor! @w3 GLaD you are here!,"Bienvenue, inspecteur! @w3 Le GLaD est ravi de vous voir ici!"," Benvenuto, Ispettore! @w3 Sono felice che lei sia qui e anche GLaD!"," ¡Bienvenido, inspector! @w3 GLaD estás aquí!",,,," Добро пожаловать, инспектор! @w3 GLaD находится здесь!",ようこそ、検査官！ @w3 GLaD you are here！,欢迎，检查员！@w3 很高兴你来了！,,,,,,
dialogue_mei89,<i>Please report.</i>,<i>Bitte berichte.</i>,<i>Faites-moi un rapport</i>,,<i> Por favor repórtate. </i>,,,,"<i>Пожалуйста, сообщите.</i>",<i>報告を頼む</i>,<i>请报告。</i>,,,,,,
dialogue_PiFKW," First let me note, the mining operations on the PLANET have gone very well. @w6 I often feel like a REMNANT @w2 when I look at all those great people working on this project. @w7 You would be surprised, we often do not need to descend into the dark MINE @w2 to find interesting opportunities. @p9 If you ask me, each house needs some GUIDANCE, @w2 even if you need to handle it on a staff or on a STICK, @w2 before venturing to places where ANCIENT HISTORY is still breathing."," Zuerst lass mich darauf hinweisen, die Bergbauoperationen auf diesem PLANET sind sehr gut verlaufen. @w6 Ich fühle mich oft wie ein REMNANT, ein Reststück, @w2 wenn ich diese großartigen Leute sehe, die an diesem Projekt arbeiten. @w7 Du wärst überrascht, wir müssen oft nicht in die dunkle MINE hinabsteigen @w2 um interessante Chancen zu finden. @p9 Wenn du mich fragst, braucht jedes Haus etwas FÜHRUNG, @w2 auch wenn man es mit einem Stab oder an einem STOCK angehen muss, @w2 bevor man sich an Orte wagt, an denen URALTE HISTORIE immer noch atmet.","Permettez-moi d'abord de souligner que les opérations minières sur la PLANÈTE se sont très bien déroulées. @w6 Je me sens un peu dépassé @w2 quand je vois toutes ces personnes formidables qui travaillent sur ce projet. @w7 Vous seriez surpris, nous n'avons pas toujours besoin de descendre au fond de la mine, dans l'obscurité, @w2 pour trouver des opportunités intéressantes. @p9 Mais si vous voulez mon avis, nous avons toujours besoin d'être GUIDÉS,@w2 même si on doit pour cela tenir une canne ou un BÂTON, @w2 avant de s'aventurer dans des endroits où transpire encore les HISTOIRES DU PASSÉ."," Per prima cosa vorrei sottolineare che le operazioni minerarie sul PIANETA sono andate molto bene. @w6 Mi sento spesso come un REMNANTE @w2 quando guardo tutte quelle grandi persone che lavorano a questo progetto. @w7 Sarebbe sorpreso, spesso non abbiamo bisogno di scendere nell'oscura MINIERA @w2 per trovare opportunità interessanti. @p9 Se me lo chiede, per me ogni casa ha bisogno di un preciso ORIENTAMENTO, @w2 anche se per gestirla dovesse servire uno staff che abbia mano ferma, e all'occorrenza utilizzare il BASTONE @w2 prima di avventurarsi in luoghi dove la STORIA ANTICA respira ancora."," Primero permítanme señalar que las operaciones mineras en el PLANETA han ido muy bien. @w6 A menudo me siento como un REMANENTE @w2 cuando miro a todas esas grandes personas que trabajan en este proyecto. @w7 Te sorprenderías, a menudo no necesitamos descender a la oscura MINA @w2 para encontrar oportunidades interesantes. @p9 Si me preguntas, cada casa necesita cierta GUIA, @w2 incluso si necesitas sostener un bastón o un PALO, @w2 antes de aventurarte a lugares donde la HISTORIA ANTIGUA todavía se respira.",,,," Прежде всего позвольте мне отметить, что добыча полезных ископаемых на ПЛАНЕТЕ идет очень хорошо. @w6 Я часто чувствую себя ПЕРЕЖИТКОМ @w2 когда я смотрю на всех этих великих людей, работающих над этим проектом. @w7 Вы удивитесь, нам часто не нужно спускаться в темноту ШАХТЫ @w2 чтобы найти интересные возможности. @p9 Если вы спросите меня, каждый дом нуждается в РУКОВОДСТВЕ, @w2 даже если вам нужно использовать его на персонале или на ПАЛКЕ, @w2 прежде чем отправиться в места, где еще дышит ДРЕВНЯЯ ИСТОРИЯ.",まず最初に伝えますが、惑星での採掘作業は非常に順調に進んでいます。 @w6 私はしばしば @w2 このプロジェクトに取り組んでいる素晴らしい人々を見ると、レムナントのように感じることがあります。 @w7 あなたは驚くでしょう、私たちは興味深い機会を見つけるために都度暗い採掘場に @w2 降りる必要はありません。 @p9 私に言わせれば、それぞれの家にはいくつかのGUIDANCEが必要、@w2 職員やSTICKで処理する必要があったとしても。@w2 古代の歴史がまだ息づいている場所を冒険する前に。,首先我注意到，小行星上的采矿作业进行的非常顺利。@w6 当我看到那些在该项目上工作的伟人时，@w2 我常常觉得自己像是个废物。@w7 你可能会感到惊讶，我们通常不需要下到黑暗的矿井里@w2 去寻找有趣的机遇。@p9 如果你这么问我，那每个地方都需要一些指导，@w2 即使你需要一根棒子或棍子来处理。@w2 赶在冒险进入历史仍然呼吸着的地方之前。,,,,,,
dialogue_JiawW,<i>Join in the charade</i>,<i>Das Spiel mitspielen</i>,<i>C'est quoi cette mascarade!</i>,<i>Stai al gioco</i>,<i> Únete a la farsa </i>,,,,<i>Присоединяйтесь к шараде</i>,<i>まねごとに加わる</i>,<i>加入猜谜游戏</i>,,,,,,
dialogue_GC0s6," Inspector, of course you weren't sent here to listen to an old digger, right? @w4 If I were you, @w2 I would take the opportunity to @w2 go to our CELLAR @w2 and fetch some rare wine, but leave before the RATS come after you. @p9 Let me know when you are ready, so we can cheer with a SMILEY FACE, when you are back."," Inspektor, natürlich bist du nicht hergeschickt worden um einem alten Schürfer zuzuhören, richtig? @w4 Wenn ich du wäre, @w2 würde ich die Gelegenheit nutzen @w2 in unseren KELLER zu gehen @w2 und einigen seltenen Wein zu holen, aber wieder verschwinden bevor die RATTEN hinter dir her sind. @p9 Lass es mich wissen, wenn du fertig bist, damit wir mit LÄCHELNDEM GESICHT jubeln können, wenn du zurück bist.","Inspecteur, je me doute bien que vous n'avez pas été envoyé ici pour écouter un vieux mineur comme moi, je me trompe? @w4 Si j'étais vous, @w2 je descendrais plutôt au @w2 CELLIER @w2 y chercher un bon vin rare, mais méfiez des RATS que vous pourriez déranger. @p9 Faites-moi savoir quand vous aurez terminé, que nous puissions vous féliciter avec une FACE DE SMILEY, à votre retour. @p9 Ha oui j'oubliais.., j'ai aussi ce bloc de données pour vous, il pourra vous être utile... \nJe le transfère directement dans votre armure!",," Inspector, por supuesto, no te enviaron aquí para escuchar a un viejo excavador, ¿verdad? @w4 Si yo fuera tú, @w2 aprovecharía la oportunidad de @w2 ir a nuestra BODEGA @w2 y buscar un poco de vino raro, pero vete antes de que las RATAS te persigan. @p9 Avísame cuando estés listo, para que podamos alegrarte con una CARA SONRIENTE, cuando regreses.",,,," Инспектор, вас, конечно, послали сюда послушать старого копателя, верно? @w4 На твоем месте, @w2 я бы воспользовался возможностью @w2 отправиться в наш ПОДВАЛ @w2 и принеси мне немного редкого вина, но уходи, пока КРЫСЫ не догнали тебя. @p9 Дайте мне знать, когда будете готовы, и мы сможем подбодрить вас улыбающимся лицом, когда вы вернетесь.","査閲官, もちろん老いぼれ採掘師の話を聞くために送られてきたわけではないでしょう？ @w4 私があなただったら、 @w2 この機会に @w2 我々の地下貯蔵室（CELLAR）へ行って @w2 希少なワインをいくつか取ってくる、だがネズミ（RATS）に追われる前に去ってくれ。 @p9 準備ができたら知らせてくれ、戻ってきたら笑顔（SMILEY FACE）で応援する。",指导员，我敢打包票，你肯定不是为了听一个老挖掘机的声音而被派来的，对吧？@w4如果我是你，@w2 我会抓住这个机会，@w2 到我们的地窖@w2 给我拿些珍藏的葡萄酒，然后在老鼠追赶你之前离开。@p9 准备好了就告诉我，这样你回来的时候，我们就可以用一张高兴的脸欢呼了。,,,,,,
dialogue_aeq0i,<i>Leave for the cellar</i>,<i>Aufbruch in den Keller</i>,<i>Aller au cellier</i>,,<i> Vete a la bodega </i>,,,,<i>Отправляйтесь в подвал</i>,<i>貯蔵室に向かう</i>,<i>去酒窖</i>,,,,,,
dialogue_C4K0a," Welcome, Keeper of the Staff of Guidance! \nHow can I serve you?"," Willkommen, Bewahrer des Stabes der Führung! \nWie kann ich dir dienen?","Bienvenue, Gardien du Baton de Guide! \nComment puis-je vous servir?"," Benvenuto, Custode del Bastone dell'Orientamento! \nCome posso servirti?"," ¡Bienvenido, Guardián del Bastón de Guia! \ n¿Cómo puedo servirte?",,,," Добро пожаловать, Хранитель Посоха Руководства! \nКак я могу служить вам?",ようこそ、導きの杖の番人！ \n何かご用か？,欢迎，指引之杖的持有者！\n我该如何为您服务？,,,,,,
dialogue_SGqbC,<i>Keeper?</i>,<i>Bewahrer?</i>,<i>Gardien?</i>,<i>Custode?</i>,<i> ¿Guardián? </i>,,,,<i>Хранитель?</i>,<i>番人？</i>,<i>持有者？</i>,,,,,,
dialogue_4us4S," Of course, most noble ambassador of a distant galaxy."," Natürlich, höchst edler Botschafter einer fernen Galaxis.","Bien sûr, le plus noble ambassadeur d'une lointaine galaxie.",," Por supuesto, el embajador más noble de una galaxia distante.",,,," Конечно, благороднейший посол далекой галактики.",もちろん、遠方の銀河の最も高貴な大使。,当然，银河系最尊敬而崇高的特使。,,,,,,
dialogue_g04Oi,<i>Purpose of Station?</i>,<i>Zweck der Station?</i>,<i>À quoi sert cette station?</i>,<i>Scopo della Stazione?</i>,<i>¿Propósito de la estación? </i>,,,,<i>Назначение станции?</i>,<i>ステーションの目的は？</i>,<i>建立这个空间站的目的是什么？</i>,,,,,,
dialogue_4CE88," This is what remains of Mahan Station, of the glorious Zirax-Talon Assembly! @p9 Centuries passed, since this fragment of a once mesmerizing world was caught by the gravity of that yellow star. @w6 This part of the archive has survived the test of time, the war of silence, and the destruction of its home world, preserving the history and technology of the glorious past, for you or anyone else to make good use of it."," Dies ist, was von Mahan Station übrig geblieben ist, von der glorreichen Zirax-Talon-Aufbaugemeinschaft! @p9 Jahrhunderte sind vergangen, seit dieses Bruchstück einer einst bezaubernden Welt von der Gravitation dieses gelben Sterns eingefangen wurde. @w6 Dieser Teil des Archivs hat die Prüfungen der Zeit überlebt, den Krieg der Stille, und die Zerstörung seiner Heimatwelt - konservierte die Geschichte und Technologie der gloriosen Vergangenheit, für dich oder jeden der eine gute Verwendung dafür hat.","Voici ce qui reste de la Station de Mahan, de la glorieuse assemblée Zirax-Talon! @p9 Des siècles se sont écoulés depuis que ce fragment d'un monde autrefois fascinant a été piégé par la gravité de cette étoile jaune. @w6 Cette partie réservée aux archives a survécu à l'épreuve du temps, à la guerre du silence et à la destruction de son monde natal, préservant ainsi l'histoire et la technologie du passé glorieux, pour que vous ou quiconque en fasse bon usage.",," ¡Esto es lo que queda de la estación Mahan, de la gloriosa Asamblea Zirax-Talon! @p9 Pasaron los siglos, ya que este fragmento de un mundo que alguna vez fue fascinante fue atrapado por la gravedad de esa estrella amarilla. @w6 Esta parte del archivo ha sobrevivido la prueba del tiempo, la guerra del silencio y la destrucción de su mundo natal, preservando la historia y la tecnología del pasado glorioso, para que usted o cualquier otra persona lo aprovechen.",,,," Это то, что осталось от станции Махан, от славной Ассамблеи Зиракс-Талон! @p9 Прошли века с тех пор, как этот фрагмент некогда завораживающего мира был захвачен гравитацией этой желтой звезды. @w6 Эта часть архива выдержала испытание временем, войну безмолвия и разрушение своего родного мира, сохранив историю и технологии славного прошлого, чтобы вы или кто-либо другой могли их использовать.",これが栄光あるジラックスータロンアセンブリのマハン・ステーションの跡地だ！ @p6 何世紀も経った、かつての魅惑的な世界の断片が、あの黄色い星の重力に捕らえられてから。 @w6 このアーカイブの一部は時の試練、沈黙の戦争と、故郷の世界の破壊を生き延び、輝かしい過去の歴史と技術を保存し、あなたや他の誰もがそれをうまく利用できるようにしている。,这座马汉基地是光荣的兹瑞克斯-泰隆联结所遗留下来的！@p9 自从这个曾经迷人的行星被那颗黄色恒星的引力所捕获已经过去了几个世纪。@w6 这份档案战胜了时间的考验和沉默战争的摧残， 尽管家园已经毁灭，但是这份辉煌的过去所保存下来的历史技术，希望你或者任何人都能够好好的使用。,,,,,,
